time,cpu%,rss_kb,vsz_kb,threads,goroutines
5,13.6,22444,1893048,17,0
10,14.2,21320,1893048,17,0
15,14.9,21584,1893048,17,0
20,15.4,20776,1893048,17,0
25,16.0,25804,1893048,17,0
30,16.6,28996,1893048,17,0
35,17.2,22716,1893048,17,0
40,17.8,26424,1893048,17,0
45,18.3,20816,1893048,17,0
50,18.9,16744,1893048,17,0
55,19.4,32672,1893048,17,0
60,19.9,20720,1893048,17,0
65,20.4,22092,1893048,17,0
70,20.9,18860,1893048,17,0
75,21.3,24760,1893048,17,0
80,21.8,27312,1893048,17,0
85,22.3,21748,1893048,17,0
90,22.7,20648,1893048,17,0
95,23.2,21512,1893048,17,0
100,23.6,21780,1893048,17,0
105,24.1,20712,1893048,17,0
110,24.5,22464,1893048,17,0
115,24.9,20088,1893048,17,0
120,25.3,20548,1893048,17,0
125,25.7,22380,1893048,17,0
130,26.1,22440,1893048,17,0
135,26.5,20196,1893048,17,0
140,26.8,25720,1893048,17,0
145,27.2,21884,1893048,17,0
150,27.6,36228,1893048,17,0
155,27.9,37448,1893048,17,0
160,28.3,21308,1893048,17,0
165,28.6,20684,1893048,17,0
170,29.0,19592,1893048,17,0
175,29.3,24120,1893048,17,0
180,29.6,19968,1893048,17,0
185,29.9,21088,1893048,17,0
190,30.2,21904,1893048,17,0
195,30.6,33956,1893048,17,0
