time,cpu%,rss_kb,vsz_kb,threads,goroutines
0,12.9,14236,1893048,17,0
2,13.1,21352,1893048,17,0
4,13.4,22084,1893048,17,0
6,13.7,19248,1893048,17,0
8,13.9,31648,1893048,17,0
10,14.2,21556,1893048,17,0
12,14.5,20912,1893048,17,0
15,14.7,21140,1893048,17,0
17,14.9,21048,1893048,17,0
19,15.2,32288,1893048,17,0
21,15.4,20776,1893048,17,0
23,15.7,20928,1893048,17,0
25,15.9,31556,1893048,17,0
27,16.2,31860,1893048,17,0
29,16.4,23092,1893048,17,0
31,16.7,30052,1893048,17,0
33,16.9,21108,1893048,17,0
35,17.2,20748,1893048,17,0
38,17.4,31420,1893048,17,0
40,17.6,23860,1893048,17,0
42,17.8,29852,1893048,17,0
44,18.0,20152,1893048,17,0
46,18.3,33016,1893048,17,0
48,18.5,21836,1893048,17,0
50,18.7,19956,1893048,17,0
52,18.9,19392,1893048,17,0
54,19.2,21828,1893048,17,0
56,19.4,33968,1893048,17,0
58,19.6,22356,1893048,17,0
61,19.8,20508,1893048,17,0
63,20.0,21096,1893048,17,0
65,20.2,21108,1893048,17,0
67,20.4,22356,1893048,17,0
69,20.6,22788,1893048,17,0
71,20.8,20756,1893048,17,0
73,21.0,20856,1893048,17,0
75,21.2,23160,1893048,17,0
77,21.4,24436,1893048,17,0
79,21.6,31552,1893048,17,0
81,21.8,23888,1893048,17,0
84,22.0,21220,1893048,17,0
86,22.1,20712,1893048,17,0
88,22.3,19620,1893048,17,0
90,22.5,23196,1893048,17,0
92,22.7,20384,1893048,17,0
94,22.9,19788,1893048,17,0
96,23.1,19008,1893048,17,0
98,23.3,21172,1893048,17,0
100,23.5,18004,1893048,17,0
102,23.6,21772,1893048,17,0
104,23.8,24592,1893048,17,0
107,24.0,18244,1893048,17,0
109,24.1,18036,1893048,17,0
111,24.3,17176,1893048,17,0
113,24.5,20792,1893048,17,0
115,24.7,21348,1893048,17,0
117,24.8,20244,1893048,17,0
119,25.0,21260,1893048,17,0
121,25.2,22336,1893048,17,0
123,25.4,22368,1893048,17,0
125,25.5,18884,1893048,17,0
127,25.7,20796,1893048,17,0
129,25.9,20264,1893048,17,0
132,26.0,29944,1893048,17,0
134,26.1,19696,1893048,17,0
136,26.3,21352,1893048,17,0
138,26.5,20196,1893048,17,0
140,26.6,16228,1893048,17,0
142,26.8,21416,1893048,17,0
144,26.9,32584,1893048,17,0
146,27.1,18736,1893048,17,0
148,27.3,21528,1893048,17,0
150,27.4,20660,1893048,17,0
153,27.6,33588,1893048,17,0
155,27.7,32032,1893048,17,0
157,27.8,29700,1893048,17,0
159,28.0,22560,1893048,17,0
161,28.1,22548,1893048,17,0
163,28.2,22208,1893048,17,0
165,28.4,21996,1893048,17,0
167,28.5,21232,1893048,17,0
169,28.7,24924,1893048,17,0
171,28.8,20712,1893048,17,0
173,29.0,19592,1893048,17,0
175,29.1,33320,1893048,17,0
178,29.3,21356,1893048,17,0
180,29.4,30980,1893048,17,0
182,29.5,15892,1893048,17,0
184,29.6,20496,1893048,17,0
186,29.8,20840,1893048,17,0
188,29.9,20788,1893048,17,0
190,30.0,27928,1893048,17,0
192,30.2,31280,1893048,17,0
194,30.3,19520,1893048,17,0
196,30.4,21704,1893048,17,0
199,30.6,30524,1893048,17,0
201,30.7,23764,1893048,17,0
203,30.8,21424,1893048,17,0
