time,cpu,rss,vsz,threads
2,53.8,12828,1892792,17
4,55.3,13356,1892792,17
6,58.0,13132,1892792,17
8,57.0,13320,1892792,17
10,56.5,13440,1892792,17
12,56.3,13044,1892792,17
14,56.1,13524,1892792,17
16,54.7,13460,1892792,17
18,56.3,13288,1892792,17
20,55.3,13040,1892792,17
22,56.5,13652,1892792,17
24,55.5,13052,1892792,17
26,54.7,13228,1892792,17
28,56.0,13512,1892792,17
30,54.3,13636,1892792,17
32,56.7,13860,1892792,17
34,56.5,13776,1892792,17
36,55.0,13720,1892792,17
38,56.3,13136,1892792,17
40,56.3,13124,1892792,17
42,54.7,13284,1892792,17
44,56.3,13060,1892792,17
46,56.3,13292,1892792,17
