time,cpu,rss,vsz,threads
2,0.0,1872,7764,1
4,0.0,1872,7764,1
6,0.0,1872,7764,1
8,0.0,1872,7764,1
10,0.0,1872,7764,1
12,0.0,1872,7764,1
14,0.0,1872,7764,1
16,0.0,1872,7764,1
18,0.0,1872,7764,1
20,0.0,1872,7764,1
22,0.0,1872,7764,1
24,0.0,1872,7764,1
26,0.0,1872,7764,1
28,0.0,1872,7764,1
30,0.0,1872,7764,1
32,0.0,1872,7764,1
34,0.0,1872,7764,1
36,0.0,1872,7764,1
38,0.0,1872,7764,1
40,0.0,1872,7764,1
42,0.0,1872,7764,1
44,0.0,1872,7764,1
46,0.0,1872,7764,1
48,0.0,1872,7764,1
50,0.0,1872,7764,1
52,0.0,1872,7764,1
54,0.0,1872,7764,1
56,0.0,1872,7764,1
58,0.0,1872,7764,1
60,0.0,1872,7764,1
